Table Name in NetSuite2.com,Field ID in NetSuite2.com,Field Name in NetSuite2.com
mdrtestcheckpayeeaddress,recordowner,
mfgprojectaddressbookentityaddress,nkey,
mfgprojectaddressbookentityaddress,recordowner,
opportunitybillingaddress,nkey,
opportunitybillingaddress,recordowner,
opportunityshippingaddress,nkey,
opportunityshippingaddress,recordowner,
othernameaddressbookentityaddress,nkey,
othernameaddressbookentityaddress,recordowner,
partneraddressbookentityaddress,nkey,
partneraddressbookentityaddress,recordowner,
purchaseorderbillingaddress,nkey,
purchaseorderbillingaddress,recordowner,
purchaseordershippingaddress,nkey,
purchaseordershippingaddress,recordowner,
returnauthorizationbillingaddress,nkey,
returnauthorizationbillingaddress,recordowner,
returnauthorizationshippingaddress,nkey,
returnauthorizationshippingaddress,recordowner,
revenuecommitmentbillingaddress,nkey,
revenuecommitmentbillingaddress,recordowner,
revenuecommitmentreversalbillingaddress,nkey,
revenuecommitmentreversalbillingaddress,recordowner,
revenuecommitmentreversalshippingaddress,nkey,
revenuecommitmentreversalshippingaddress,recordowner,
revenuecommitmentshippingaddress,nkey,
revenuecommitmentshippingaddress,recordowner,
salesorderbillingaddress,nkey,
salesorderbillingaddress,recordowner,
salesorderitemshippingaddress,nkey,
salesorderitemshippingaddress,recordowner,
salesordershippingaddress,nkey,
salesordershippingaddress,recordowner,
subsidiarymainaddress,nkey,
subsidiarymainaddress,recordowner,
subsidiaryreturnaddress,nkey,
subsidiaryreturnaddress,recordowner,
subsidiaryshippingaddress,nkey,
subsidiaryshippingaddress,recordowner,
transactionaddressmappingaddress,nkey,
transactionaddressmappingaddress,recordowner,
transactionbillingaddress,nkey,
transactionbillingaddress,recordowner,
transactionbillingaddressbookentityaddress,nkey,
transactionbillingaddressbookentityaddress,recordowner,
transactionlineaddressmappinglineaddress,nkey,
transactionlineaddressmappinglineaddress,recordowner,
transactionpayeeaddressbookentityaddress,nkey,
transactionpayeeaddressbookentityaddress,recordowner,
transactionreturnaddressbookentityaddress,nkey,
transactionreturnaddressbookentityaddress,recordowner,
transactionshippingaddress,nkey,
transactionshippingaddress,recordowner,
transactionshippingaddressbookentityaddress,nkey,
transactionshippingaddressbookentityaddress,recordowner,
transferordershippingaddress,nkey,
transferordershippingaddress,recordowner,
vendoraddressbookentityaddress,nkey,
vendoraddressbookentityaddress,recordowner,
vendorbillbillingaddress,nkey,
vendorbillbillingaddress,recordowner,
vendorcreditbillingaddress,nkey,
vendorcreditbillingaddress,recordowner,
vendorpaymentpayeeaddress,nkey,
vendorpaymentpayeeaddress,recordowner,
vendorprepaymentpayeeaddress,nkey,
vendorprepaymentpayeeaddress,recordowner,
vendorreturnauthorizationbillingaddress,nkey,
vendorreturnauthorizationbillingaddress,recordowner,
workplacemainaddress,nkey,
workplacemainaddress,recordowner,
cashrefundbillingaddress,addr1,
cashrefundshippingaddress,addr1,
cashsalebillingaddress,addr1,
cashsaleitemshippingaddress,addr1,
cashsaleshippingaddress,addr1,
checkpayeeaddress,addr1,
companyaddressbookentityaddress,addr1,
contactaddressbookentityaddress,addr1,
creditmemobillingaddress,addr1,
creditmemoitemshippingaddress,addr1,
creditmemoshippingaddress,addr1,
customeraddressbookentityaddress,addr1,
customerrefundpayeeaddress,addr1,
employeeaddressbookentityaddress,addr1,
entityaddress,addr1,
estimatebillingaddress,addr1,
estimateitemshippingaddress,addr1,
estimateshippingaddress,addr1,
intercompanytransferordershippingaddress,addr1,
invoicebillingaddress,addr1,
invoiceitemshippingaddress,addr1,
invoiceshippingaddress,addr1,
itemfulfillmentreturnaddress,addr1,
itemfulfillmentshippingaddress,addr1,
jobaddressbookentityaddress,addr1,
locationmainaddress,addr1,
locationreturnaddress,addr1,
mdrtestcheckpayeeaddress,addr1,
mfgprojectaddressbookentityaddress,addr1,
opportunitybillingaddress,addr1,
opportunityshippingaddress,addr1,
othernameaddressbookentityaddress,addr1,
partneraddressbookentityaddress,addr1,
purchaseorderbillingaddress,addr1,
purchaseordershippingaddress,addr1,
returnauthorizationbillingaddress,addr1,
returnauthorizationshippingaddress,addr1,
revenuecommitmentbillingaddress,addr1,
revenuecommitmentreversalbillingaddress,addr1,
revenuecommitmentreversalshippingaddress,addr1,
revenuecommitmentshippingaddress,addr1,
salesorderbillingaddress,addr1,
salesorderitemshippingaddress,addr1,
salesordershippingaddress,addr1,
subsidiarymainaddress,addr1,
subsidiaryreturnaddress,addr1,
subsidiaryshippingaddress,addr1,
transactionaddressmappingaddress,addr1,
transactionbillingaddress,addr1,
transactionbillingaddressbookentityaddress,addr1,
transactionlineaddressmappinglineaddress,addr1,
transactionpayeeaddressbookentityaddress,addr1,
transactionreturnaddressbookentityaddress,addr1,
transactionshippingaddress,addr1,
transactionshippingaddressbookentityaddress,addr1,
transferordershippingaddress,addr1,
vendoraddressbookentityaddress,addr1,
vendorbillbillingaddress,addr1,
vendorcreditbillingaddress,addr1,
vendorpaymentpayeeaddress,addr1,
vendorprepaymentpayeeaddress,addr1,
vendorreturnauthorizationbillingaddress,addr1,
workplacemainaddress,addr1,
cashrefundbillingaddress,addr2,
cashrefundshippingaddress,addr2,
cashsalebillingaddress,addr2,
cashsaleitemshippingaddress,addr2,
cashsaleshippingaddress,addr2,
checkpayeeaddress,addr2,
companyaddressbookentityaddress,addr2,
contactaddressbookentityaddress,addr2,
creditmemobillingaddress,addr2,
creditmemoitemshippingaddress,addr2,
creditmemoshippingaddress,addr2,
customeraddressbookentityaddress,addr2,
customerrefundpayeeaddress,addr2,
employeeaddressbookentityaddress,addr2,
entityaddress,addr2,
estimatebillingaddress,addr2,
estimateitemshippingaddress,addr2,
estimateshippingaddress,addr2,
intercompanytransferordershippingaddress,addr2,
invoicebillingaddress,addr2,
invoiceitemshippingaddress,addr2,
invoiceshippingaddress,addr2,
itemfulfillmentreturnaddress,addr2,
itemfulfillmentshippingaddress,addr2,
